Move Stage	Outbound Carrier Name	Yard In	Complete	Kind	Planned Position	Yard Plan	Remarks	Power	Discon	Container No.	Current Position
Planned	MSC ALANYA	MA1139	MA1139	LOAD	26-0324*580076		V20 S/A	 0 	2609190223	MSDU9607973	22-23031	
Planned	MSC ALANYA	MA1225	MA1225	LOAD	26-0324*580078		0V S/A	 0 	2609190207	TTNU8152667	34-18041	
Planned	MSC ALANYA	MA1248	MA1248	LOAD	26-0324*580276		V20 S/A	 0 	2609190223	OTPU6584010	22-23032	
Planned	MSC ALANYA	MA1733	MA1733	LOAD	26-0324*580678		V0	 0 	2609190227	TTNU8347782	32-20031	
Planned	MSC ALANYA	MI1118	MI1118	LOAD	26-0324*261112		V20CBM S/A	 0 	2609190213	MEDU9182450	22-27042	
Planned	MSC ALANYA	MI1122	MI1122	LOAD	26-0324*260912		V20CBM S/A	 0 	2609190213	TTNU8110548	22-27043	
Planned	MSC ALANYA	MI1127	MI1127	LOAD	26-0324*261012		V20CBM S/A	 0 	2609190213	OTPU6016915	22-27044	
Planned	MSC ALANYA	MI1138	MI1138	LOAD	26-0324*261212		V20CBM S/A	 0 	2609190212	TEMU9399577	22-27045	
Planned	MSC ALANYA	MI1144	MI1144	LOAD	26-0324*260910		V20CBM S/A	 0 	2609190212	MSGU9218490	22-27031	
Planned	MSC ALANYA	MI1322	MI1322	LOAD	26-0324*261010		V20	 0 	2609190212	GESU9541926	22-27032	
Planned	MSC ALANYA	MI1405	MI1405	LOAD	26-0324*261110		V20 S/A	 0 	2609190202	TEMU9003407	22-27046	
Planned	MSC ALANYA	MI1424	MI1424	LOAD	26-0324*261210		V20CBM S/A	 0 	2609190212	TEMU9531739	22-27033	
Planned	MSC ALANYA	MI1434	MI1434	LOAD	26-0324*261108		V30 S/A	 0 	2609190212	FSCU5675520	22-27034	
Planned	MSC ALANYA	MI1440	MI1440	LOAD	26-0324*260908		V15CBM S/A	 0 	2609190212	SZLU9160260	22-27035	
Planned	MSC ALANYA	MI1522	MI1522	LOAD	26-0324*261008		V20 S/A	 0 	2609190202	SEGU9192881	22-27036	
Planned	MSC ALANYA	JU0033	JU0033	LOAD	26-0324*580278		V20 S/A	 0 	2609190214	SEGU9291415	22-25032	
Planned	MSC ALANYA	JU0224	JU0224	LOAD	26-0324*580478		S/A V20	 0 	2609190214	TGHU9973563	22-25033	
Planned	MSC ALANYA	JU1318	JU1318	LOAD	26-0324*580878		V0	 0 	2609190234	MEDU9874761	22-41061	
Completed	MSC ALANYA	MA1945	SA0355	LOAD			20V S/A	 0 	2609190222	TEMU9020507	26-0324*580474	
Completed	MSC ALANYA	MA2101	SA0352	LOAD			0V S/A	 0 	2609190222	MSGU9313497	26-0324*580272	
Completed	MSC ALANYA	MA2104	SA0351	LOAD			0V S/A	 0 	2609190222	OTPU1069640	26-0324*580472	
Completed	MSC ALANYA	MI1612	SA0356	LOAD			S/AL 20C	 0 	2609190211	GESU9595120	26-0324*260904	
Completed	MSC ALANYA	MI1615	SA0354	LOAD			S/AL 20C	 0 	2609190211	MSGU9055896	26-0324*260902	
Completed	MSC ALANYA	MI1654	SA0336	LOAD			15C S/A	 0 	2609190210	TTNU8314372	26-0324*261004	
Completed	MSC ALANYA	MI1659	SA0345	LOAD			10C S/A	 0 	2609190222	SZLU9045360	26-0324*580672	
Completed	MSC ALANYA	MI1708	SA0332	LOAD			20C S/A	 0 	2609190210	TRIU8056971	26-0324*261204	
Completed	MSC ALANYA	MI1747	SA0347	LOAD			20V S/A	 0 	2609190222	SZLU9252881	26-0324*580874	
Completed	MSC ALANYA	MI1751	SA0341	LOAD			20V S/A	 0 	2609190221	SEGU9201710	26-0324*580872	
Completed	MSC ALANYA	MI1755	SA0327	LOAD			20C S/A	 0 	2609190202	TRIU8024167	26-0324*261002	
Completed	MSC ALANYA	MI1803	SA0350	LOAD			0V S/A	 0 	2609190221	TEMU9528484	26-0324*580876	
Carry Underway	MSC ALANYA	MA1251	MA1251	LOAD	26-0324*580074		V20 S/A	 0 	2609190223	TTNU8361501	*TR-70*	
Carry Underway	MSC ALANYA	MA1324	MA1324	LOAD	26-0324*580274		V0 S/A JR	 0 	2609190223	MSGU9115130	*TR-62*	
Carry Underway	MSC ALANYA	MA1503	MA1503	LOAD	26-0324*580072		V20 S/A	 0 	2609190223	TEMU9385402	*TR-57*	
Carry Underway	MSC ALANYA	MA1700	MA1700	LOAD	26-0324*580476		S/AL V20	 0 	2609190223	MSGU9233180	*TR-67*	
Carry Underway	MSC ALANYA	MI0918	MI0918	LOAD	26-0324*580674		V20CBM S/A	 0 	2609190222	CRSU6131196	*TR-41*	
Carry Underway	MSC ALANYA	MI1524	MI1524	LOAD	26-0324*261208		V15CBM S/A	 0 	2609190211	SZLU9269903	*TR-59*	
Carry Underway	MSC ALANYA	MI1525	MI1525	LOAD	26-0324*261106		V20CBM S/A	 0 	2609190211	TTNU8713217	*TR-26*	
Carry Underway	MSC ALANYA	MI1527	MI1527	LOAD	26-0324*260906		V20CBM S/A	 0 	2609190211	GESU9545599	*TR-42*	
Carry Underway	MSC ALANYA	MI1529	MI1529	LOAD	26-0324*261006		V20 S/A	 0 	2609190211	CRSU6128910	*TR-46*	
Carry Underway	MSC ALANYA	MI1610	MI1610	LOAD	26-0324*261206		S/AL 20C	 0 	2609190211	TTNU8410170	*TR-25*	
Carry Underway	MSC ALANYA	MI1626	MI1626	LOAD	26-0324*261104		S/AL 15C	 0 	2609190202	TTNU8213206	*TR-55*	
Carry Complete	MSC ALANYA	MI0537	MI0537	LOAD	26-0324*580676		20CBM S/A	 0 	2609190222	SZLU9257055	PT5A 58A	
	TRUCK		OCT/20					 0 		MEDU9107899	20-0380*021072	
	TRUCK		OCT/20					 0 		TCLU1022321	20-0380*020872	
	TRUCK		OCT/20					 0 		BMOU9015847	20-0380*500502	
	TRUCK		DIC/20					 0 		SZLU9256444	20-0409*301202	
	VESSEL		JUN/19					 0 	2204260030	MSWU9033608	19-0227*460506	
	VESSEL		DIC/21					 0 	2501031033	GESU9386711	21-0419*100582	

19-09-2026	03:56:54
